1/1/2012,CESAR,VALLEDUPAR (CT),Domingo,7:00,1º DE MAYO,URBANA,VIAS PUBLICAS,ARTÍCULO 210 A. ACOSO SEXUAL,NO REPORTADO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,20001000,1
1/1/2012,CESAR,VALLEDUPAR (CT),Domingo,11:35,BALNERIO HURTADO,URBANA,ZONA SELVÁTICA,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,NO REPORTADO,A PIE,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,20001000,1
1/1/2012,CHOCÓ,ACANDÍ,Domingo,12:00,-,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,27006000,1
1/1/2012,CHOCÓ,QUIBDÓ (CT),Domingo,2:00,ANGELES,URBANA,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ARMA BLANCA,A PIE,A PIE,26,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,27001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00,ANTONIA SANTOS E-7,URBANA,CASAS DE HABITACION,ARTÍCULO 210 A. ACOSO SEXUAL,NO REPORTADO,A PIE,A PIE,14,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00,BELLA SUIZA E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ESCOPOLAMINA,A PIE,A PIE,9,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,11001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00,BELLA SUIZA E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,10,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,11001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00,QUIRIGUA I E-10,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CONTUNDENTES,A PIE,A PIE,12,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00,VERBENAL I E-1,URBANA,CASAS DE HABITACION,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
1/1/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2:00,CENTRO USME E-5,URBANA,POTREROS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,CONDUCTOR TAXI,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
