1/1/2010,GUAJIRA,MAICAO,Viernes,12:00,28 DE NOVIEMBRE,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,44430000,1,,,
1/1/2010,GUAJIRA,MAICAO,Viernes,12:00,28 DE NOVIEMBRE,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,7,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,44430000,1,,,
1/1/2010,GUAJIRA,RIOHACHA (CT),Viernes,21:30,7 DE AGOSTO,URBANA,LAGUNAS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,44001000,1,,,
1/1/2010,GUAJIRA,VILLANUEVA,Viernes,0:00,-,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,44874000,1,,,
1/1/2010,HUILA,GARZÓN,Viernes,1:00,JUAN PABLO II,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,41298000,1,,,
1/1/2010,HUILA,GARZÓN,Viernes,8:00,VEREDA SAN LUIS,RURAL,CASAS DE HABITACION,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,NO REPORTADO,A PIE,A PIE,NO REPORTADO,MASCULINO,NO REPORTADO,COLOMBIA,NO REPORTA,NO REPORTADO,NO REPORTADO,41298000,1,,,
1/1/2010,HUILA,GUADALUPE,Viernes,1:00,VEREDA LOS PINOS,RURAL,FINCAS Y SIMILARES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,8,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,41319000,1,,,
1/1/2010,HUILA,GUADALUPE,Viernes,8:00,CENTRO,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,8,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,41319000,1,,,
1/1/2010,HUILA,LA PLATA,Viernes,0:00,CIUDAD CANADA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,41396000,1,,,
1/1/2010,HUILA,LA PLATA,Viernes,6:15,VEREDA LA MURALLA,RURAL,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ARMA BLANCA,A PIE,A PIE,47,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,41396000,1,,,
1/1/2010,HUILA,LA PLATA,Viernes,14:00,VEREDA ALTO DE LA CAÑADA,RURAL,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,41396000,1,,,
1/1/2010,HUILA,LA PLATA,Viernes,19:00,VEREDA EL PESCADO,RURAL,FINCAS Y SIMILARES,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,4,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,ANALFABETA,41396000,1,,,
1/1/2010,HUILA,PITALITO,Viernes,0:00,LOS PINOS,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,NO REPORTADO,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,41551000,1,,,
1/1/2010,HUILA,PITALITO,Viernes,0:00,-,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,NO REPORTADO,NO REPORTADO,41551000,1,,,
1/1/2010,HUILA,PITALITO,Viernes,8:00,CENTRO,URBANA,"HOTELES, RESIDENCIAS, Y SIMILARES.",ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,41551000,1,,,
1/1/2010,HUILA,PITALITO,Viernes,14:30,PORTAL DE ORIENTE,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,41551000,1,,,
1/1/2010,HUILA,SAN AGUSTÍN,Viernes,16:00,SILOE,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,41668000,1,,,
1/1/2010,META,GRANADA,Viernes,8:30,INSPECCION CANAGUARO,RURAL,POTREROS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,42,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,NO REPORTADO,PRIMARIA,50313000,1,,,
1/1/2010,META,PUERTO RICO,Viernes,1:30,EL JARDIN,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,NO REPORTADO,A PIE,A PIE,13,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,50590000,1,,,
1/1/2010,META,VILLAVICENCIO (CT),Viernes,5:00,BRISAS DEL GUATIQUIA,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,50001000,1,,,
1/1/2010,META,VILLAVICENCIO (CT),Viernes,10:10,SAN ISIDRO,URBANA,PLAZAS DE MERCADO,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NO REPORTADO,NO REPORTADO,NO REPORTADO,25,FEMENINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,50001000,1,,,
1/1/2010,PUTUMAYO,PUERTO ASÍS,Viernes,5:30,VILLA PAZ,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,NO REPORTADO,NO REPORTADO,NO REPORTADO,4,FEMENINO,SOLTERO,COLOMBIA,NO REPORTA,NO REPORTADO,NO REPORTADO,86568000,1,,,
