0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2019,META,CUMARAL,Martes,9:20:00,VEREDA EL JAPON,RURAL,ESTABLECIMIENTO PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,50226000,,1
1/1/2019,META,VILLAVICENCIO (CT),Martes,1:36:00,LA NOHORA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,50001000,,1
1/1/2019,NARIÑO,EL ROSARIO,Martes,19:30:00,CENTRO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,52256000,,1
1/1/2019,NARIÑO,IPIALES,Martes,6:00:00,VEREDA LAS BRISAS,RURAL,HOSPITALES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,52356000,,1
1/1/2019,NARIÑO,LEIVA,Martes,22:00:00,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,52405000,,1
1/1/2019,NARIÑO,PASTO (CT),Martes,4:30:00,SAN ALBANO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,52001000,,1
1/1/2019,NARIÑO,PUPIALES,Martes,10:00:00,VEREDA QUITIAQUEZ,RURAL,ESTABLECIMIENTO PUBLICO,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,52585000,,1
1/1/2019,NARIÑO,SANTA BÁRBARA,Martes,4:20:00,VIENTO LIBRE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,50,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,52696000,,1
1/1/2019,NORTE DE SANTANDER,ABREGO,Martes,2:00:00,VEREDA EL TARRA,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,54003000,,1
1/1/2019,NORTE DE SANTANDER,CÚCUTA (CT),Martes,16:20:00,BARRIO BELEN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR MOTOCICLETA,28,MASCULINO,SOLTERO,VENEZUELA,DESEMPLEADO,-,SECUNDARIA,54001000,,1
